Stock No.,Stock  Type,Year,Make,Model,Model No.,Model  Type,Body  Style,Color,Interior Color,Engine,Retail,Invoice,Lot,Co.,Age,Status,VIN,Deal  No.,Mileage
29229,S,2008,CHEV,SILVERADO 1500,,TK,CC,,,4.8 Liter,,,,90,727,S,1GCEC14C88Z292219,,15602
64081A,USED,2012,CHEV,TAHOE,,MP,UT,AUCTION,,5.3 Liter SFI,,,,90,,T,1GNSKBE00CR143903,,91928
73014A,USED,2014,CHEV,CAMARO,,C,CP,WHITE,,3.6 Liter SIDI DOHC,19939,,LOT,90,98,S,2G1FA1E34E9194912,,14463
73017A,USED,2015,CHEV,SONIC,,C,SD,WHITE,,1.8 Liter MFI DOHC,10945,,LOT,90,56,S,1G1JC5SH3F4162940,,48164
73046,NEW,2017,CHEV,IMPALA,1GY69,C,SD,SUMMIT WHITE,JET BLACK,LFX 3.6L DOHC V6 DI,34670,33275.69,,90,342,S,2G1105S35H9152052,,692
73055A,USED,2015,CHEV,SPARK,,,HB,RED,,1.2 Liter MFI DOHC,11026,,LOT,90,122,S,KL8CB6S94FC796905,,13561
73061A,USED,2015,HYUN,SONATA,,C,SD,BLUE,,2.4 Liter MPI DOHC,20976,,LOT,90,46,S,5NPE34AF3FH242106,,14802
73064A,USED,2015,BUIC,LA CROSSE,,C,SD,WHITE,,3.6 Liter SIDI DOHC,21970,,LOT,90,49,S,1G4GB5G37FF277798,,27715
73069,NEW,2017,CHEV,CORVETTE,,,,GRAY,JET BLACK,,77415,73110.4,,90,176,S,1G1YY2D73H5111759,,28
73070A,USED,2015,CHEV,SPARK,,,HB,RED,,1.2 Liter MFI DOHC,11356,,LOT,90,112,S,KL8CB6S97FC713659,,10686
73073,NEW,2017,CHEV,SONIC,1JV69,C,SD,ARTIC BLUE METALLIC,JET BLACK/DARK TITANIUM,LUW ECOTEC 1.8L DOHC VVT 4-CYLINDER SMFI,20415,18408.75,,90,132,S,1G1JD5SH0H4150423,,17
73074A,USED,2013,FORD,MUSTANG,P8E,C,CV,SILVER,,3.7 Liter,14937,,LOT,90,74,S,1ZVBP8EM6D5204726,,64408
73078A,USED,2014,CHEV,SONIC,,C,SD,BURGUNDY,,1.4 Liter MFI DOHC Turbo,10989,,LOT,90,81,S,1G1JD5SB4E4167233,,33374
